Title,Story
"Foreign object inhaled: First aid - Mayo Clinic
","If you or your child inhales a foreign object, see your doctor. If an inhaled foreign object causes choking, the American Red Cross recommends the ""five-and-five"" approach to delivering first aid:

Give 5 back blows. First, deliver five back blows between the choking person's shoulder blades with the heel of your hand.
Give 5 abdominal thrusts. Perform five abdominal thrusts (also known as the Heimlich maneuver).
Alternate between 5 blows and 5 thrusts until the blockage is dislodged.
If you're the only rescuer, perform back blows and abdominal thrusts before calling 911 or your local emergency number for help. If another person is available, have that person call for help while you perform first aid.

The American Heart Association does not teach the back-blow technique, only the abdominal thrust procedures. It's OK not to use back blows if you have not learned the back-blow technique. Both approaches are acceptable.

To perform the Heimlich maneuver on someone else

Stand behind the person. Wrap your arms around the waist. Tip the person forward slightly.
Make a fist with 1 hand. Position it slightly above the person's navel.
Grasp the fist with the other hand. Press hard into the abdomen with a quick, upward thrust — as if trying to lift the person up.
Perform a total of 5 abdominal thrusts, if needed. If the blockage still isn't dislodged, repeat the five-and-five cycle.
A modified version of the technique is sometimes taught for use with pregnant or obese people. The rescuer places his or her hand in the center of the chest to compress, rather than in the abdomen.

To perform the Heimlich maneuver on yourself

If you're alone and choking, call 911 or your local emergency number immediately. Then, although you'll be unable to effectively deliver back blows to yourself, you can still perform abdominal thrusts to dislodge the item.

Place a fist slightly above your navel.
Grasp your fist with the other hand and bend over a hard surface — a countertop or chair.
Shove your fist inward and upward."
"Foreign object swallowed: First aid - Mayo Clinic
","If you swallow a foreign object, it will usually pass through your digestive system uneventfully. But some objects can lodge in your esophagus, the tube that connects your throat and stomach. If an object is stuck in your esophagus, you may need to have it removed, especially if it is:

A pointed object, which should be removed as quickly as possible to avoid further injury to the esophageal lining
A tiny watch- or calculator-type button battery, which can rapidly cause nearby tissue injury and should be removed from the esophagus without delay
If a person who has swallowed an object is coughing forcefully, encourage him or her to continue coughing and do not interfere. If a swallowed object blocks the airway and the person's condition worsens — the cough becomes silent or breathing becomes more difficult — the American Red Cross recommends the five-and-five approach to first aid:

Give 5 back blows. First, deliver five back blows between the person's shoulder blades with the heel of your hand.
Give 5 abdominal thrusts. Perform five abdominal thrusts (also known as the Heimlich maneuver). Abdominal thrusts may injure infants. Use chest compressions instead.
Alternate between 5 back blows and 5 abdominal thrusts until the blockage is dislodged.
If you're the only rescuer, perform back blows and abdominal thrusts before calling 911 or your local emergency number for help. If another person is available, have that person call for help while you perform first aid.

If the person becomes unconscious, help him or her to the ground and begin CPR. After attempted rescue breaths, check the mouth for an object and if visible remove it. Do not perform a blind finger sweep because this could push an object farther into the airway.

The American Heart Association does not teach the back-blow technique, only the abdominal thrust procedures. It's OK not to use back blows if you have not learned the back-blow technique. Both approaches are acceptable.

To perform the Heimlich maneuver on someone else

Stand behind the person. Wrap your arms around the waist. Tip the person forward slightly.
Make a fist with 1 hand. Position it slightly above the person's navel.
Grasp the fist with the other hand. Press hard into the abdomen with a quick, upward thrust — as if trying to lift the person up.
Perform a total of 5 abdominal thrusts, if needed. If the blockage still isn't dislodged, repeat the five-and-five cycle.
A modified version of the technique is sometimes taught for use with pregnant or obese people. The rescuer places his or her hand in the center of the chest to compress, rather than in the abdomen.

To perform the Heimlich maneuver on yourself

If you're choking and alone, call 911 or your local emergency number immediately. You can't perform back blows on yourself. But you can perform abdominal thrusts.

Place a fist slightly above your navel.
Grasp your fist with the other hand and bend over a hard surface — a countertop or chair will do.
Shove your fist inward and upward."
"Fractures (broken bones): First aid - Mayo Clinic
","A fracture is a broken bone. It requires medical attention. If the broken bone is the result of major trauma or injury, call 911 or your local emergency number. Also call for emergency help if: Don't move the person except if necessary to avoid further injury. Take these actions immediately while waiting for medical help: The person is unresponsive, isn't breathing or isn't moving. Begin CPR if there's no breathing or heartbeat. There is heavy bleeding. Even gentle pressure or movement causes pain. The limb or joint appears deformed. The bone has pierced the skin. The extremity of the injured arm or leg, such as a toe or finger, is numb or bluish at the tip. You suspect a bone is broken in the neck, head or back. Stop any bleeding. Apply pressure to the wound with a sterile bandage, a clean cloth or a clean piece of clothing. Immobilize the injured area. Don't try to realign the bone or push a bone that's sticking out back in. If you've been trained in how to splint and professional help isn't readily available, apply a splint to the area above and below the fracture sites. Padding the splints can help reduce discomfort. Apply ice packs to limit swelling and help relieve pain. Don't apply ice directly to the skin. Wrap the ice in a towel, piece of cloth or some other material. Treat for shock. If the person feels faint or is breathing in short, rapid breaths, lay the person down with the head slightly lower than the trunk and, if possible, elevate the legs. "
"Frostbite: First aid - Mayo Clinic
","When exposed to very cold temperatures, skin and underlying tissues may freeze, resulting in frostbite. The areas most likely to be affected by frostbite are your fingers toes, nose, ears, cheeks and chin. If your skin pales or turns red and is very cold, hard or waxy looking, you may have frostbite. You may also experience a prickling feeling or numbness. With severe or deep frostbite, you may experience blistering and pain. You can treat very mild frostbite (frostnip) with first-aid measures. All other frostbite requires medical attention. First-aid steps for frostbite are as follows: Gently rewarm frostbitten areas. Soak hands or feet in warm water  99 to 108 F (37 to 42 C)  for 15 to 30 minutes. If a thermometer isn't available, test the water by placing an uninjured hand or elbow in it  it should feel very warm  not hot. Don't rewarm frostbitten skin with direct heat, such as a stove, heat lamp, fireplace or heating pad. This can cause burns. Check for hypothermia. Get emergency medical help if you suspect hypothermia. Signs and symptoms of hypothermia include intense shivering, slurred speech, drowsiness and loss of coordination. Protect your skin from further exposure. If you're outside, warm frostbitten hands by tucking them into your armpits. Protect your face, nose or ears by covering the area with dry, gloved hands. Don't rub the affected area and never rub snow on frostbitten skin. Get out of the cold. Once you're indoors, remove wet clothes. 
Gently rewarm frostbitten areas. Soak hands or feet in warm water  99 to 108 F (37 to 42 C)  for 15 to 30 minutes. If a thermometer isn't available, test the water by placing an uninjured hand or elbow in it  it should feel very warm  not hot.
Don't rewarm frostbitten skin with direct heat, such as a stove, heat lamp, fireplace or heating pad. This can cause burns.
 If there's any chance the affected areas will freeze again, don't thaw them. If they're already thawed, wrap them up so that they don't refreeze. Take pain medicine. If you are in pain, take over-the-counter ibuprofen (Advil, Motrin IB, others) to reduce pain and inflammation. Don't walk on frostbitten feet or toes if possible. This further damages the tissue. Know what to expect as skin thaws. If the skin turns red and you feel tingling and burning as it warms, normal blood flow is returning. But seek emergency medical attention if the numbness or pain remains during warming or if blisters develop. AskMayoExpert. Frostbite. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2014. McIntosh SE, et al. Wilderness medical society practice guidelines for the prevention and treatment of frostbite. Wilderness & Environmental Medicine. 2011;22:156. "
"Gastroenteritis: First aid - Mayo Clinic
","Gastroenteritis is an inflammation of your stomach and intestines. Common causes are: Characteristic signs and symptoms include: Depending on the cause of the inflammation, symptoms may last from one day to more than a week. If you suspect gastroenteritis in your child: Viruses. Food or water contaminated by bacteria or parasites. Reaction to a new food. Young children may develop signs and symptoms for this reason. Infants who are breast-fed may even react to a change in their mothers' diets. Side effect from medications. Nausea or vomiting Diarrhea Abdominal cramps Low-grade fever (sometimes) Stop eating for a few hours to let your stomach settle. Drink plenty of liquids, such as a sports drink or water, to prevent dehydration. If you have trouble tolerating liquids, take them in frequent sips. Make sure that you're urinating normally and that your urine is light and clear  not dark. Infrequent passage of dark urine is a sign of dehydration. Dizziness and lightheadedness also are signs of dehydration. If any of these signs and symptoms occur and you can't drink enough fluids, seek medical attention. Ease back into eating. Gradually begin to eat bland, easy-to-digest foods, such as soda crackers, toast, gelatin, bananas, rice and chicken. Stop eating if your nausea returns. Avoid milk and dairy products, caffeine, alcohol, nicotine, and fatty or highly seasoned foods for a few days. Consider acetaminophen (Tylenol, others) for relief of discomfort, unless you have liver disease. Get plenty of rest. The illness and dehydration can make you weak and tired. Vomiting persists more than two days Diarrhea persists more than several days Diarrhea turns bloody Fever is 101 F (38.3 C) or higher Lightheadedness or fainting occurs with standing Confusion develops Worrisome abdominal pain develops Allow your child to rest. When your child's vomiting stops, begin to offer small amounts of an oral rehydration solution (CeraLyte, Enfalyte, Pedialyte). Don't use only water or only apple juice. Gradually introduce bland, easy-to-digest foods, such as toast, rice, bananas and potatoes. Avoid giving your child full-fat dairy products, such as whole milk and ice cream, and sugary foods, such as sodas and candy. These can make diarrhea worse. Consider acetaminophen (Tylenol, others) for relief of discomfort, unless your child has liver disease. Don't give your child aspirin. If you're breast-feeding, let your baby nurse. If your baby is bottle-fed, offer a small amount of an oral rehydration solution or regular formula. Becomes unusually drowsy. Vomits blood. Has bloody diarrhea. Shows signs of dehydration, such as dry mouth and skin, marked thirst, sunken eyes, or crying without tears. In an infant, be alert to the soft spot on the top of the head becoming sunken and to diapers that remain dry for more than three hours. Is younger than age 2 and has a fever that lasts more than one day or is age 2 or older and has a fever that lasts more than three days. "
"Head pain: First aid - Mayo Clinic
","Most headaches are minor, and you can treat them with a pain reliever. Some head pain, however, signals a dangerous or serious medical problem. Don't ignore unexplained head pain or head pain that steadily worsens. Get immediate medical attention if your head pain: Develops suddenly and severely Accompanies a fever; stiff neck; rash; mental confusion; loss of consciousness; seizures; changes in vision, such as blurring or seeing halos around lights; dizziness; weakness or paralysis, such as in the arms or legs; loss of balance; a reddened eye; numbness; or difficulty speaking Is severe and follows a recent sore throat or respiratory infection Begins or worsens after a head injury, fall or bump Is a different type of headache from your usual and you're older than 50 Progressively worsens over the course of a single day or persists for several days "
"Head trauma: First aid - Mayo Clinic
","Most head trauma involves injuries that are minor and don't require specialized attention or hospitalization. However, even minor injuries may cause persistent chronic symptoms, such as headache or difficulty concentrating, and you may need to take some time away from many normal activities to get enough rest to ensure complete recovery. Call 911 or your local emergency number if any of the following signs or symptoms are apparent, because they may indicate a more serious head injury. Severe head or facial bleeding Bleeding or fluid leakage from the nose or ears Severe headache Change in level of consciousness for more than a few seconds Black-and-blue discoloration below the eyes or behind the ears Cessation of breathing Confusion Loss of balance Weakness or an inability to use an arm or leg Unequal pupil size Slurred speech Seizures Any of the signs or symptoms for adults Persistent crying Refusal to eat Bulging in the soft spot on the front of the head (infants) Repeated vomiting Keep the person still. Until medical help arrives, keep the injured person lying down and quiet, with the head and shoulders slightly elevated. Don't move the person unless necessary, and avoid moving the person's neck. If the person is wearing a helmet, don't remove it. Stop any bleeding. Apply firm pressure to the wound with sterile gauze or a clean cloth. But don't apply direct pressure to the wound if you suspect a skull fracture. Watch for changes in breathing and alertness. If the person shows no signs of circulation  no breathing, coughing or movement  begin CPR. Wilkinson JM (expert opinion). Mayo Clinic, Rochester, Minn. Oct. 21, 2014. "
"Heart attack: First aid - Mayo Clinic
","Someone having a heart attack may experience any or all of the following: A heart attack generally causes chest pain for more than 15 minutes, but it can also have no symptoms at all. Many people who experience a heart attack have warning signs hours, days or weeks in advance. Uncomfortable pressure, fullness or squeezing pain in the center of the chest Discomfort or pain spreading beyond the chest to the shoulders, neck, jaw, teeth, or one or both arms, or occasionally upper abdomen Shortness of breath Lightheadedness, dizziness, fainting Sweating Nausea Call 911 or your local medical emergency number. Don't ignore or attempt to tough out the symptoms of a heart attack for more than five minutes. If you don't have access to emergency medical services, have a neighbor or a friend drive you to the nearest hospital. Drive yourself only as a last resort, and realize that it places you and others at risk when you drive under these circumstances. Chew and swallow an aspirin, unless you are allergic to aspirin or have been told by your doctor never to take aspirin. But seek emergency help first, such as calling 911. Take nitroglycerin, if prescribed. If you think you're having a heart attack and your doctor has previously prescribed nitroglycerin for you, take it as directed. Do not take anyone else's nitroglycerin, because that could put you in more danger. Begin CPR if the person is unconscious. If you're with a person who might be having a heart attack and he or she is unconscious, tell the 911 dispatcher or another emergency medical specialist. You may be advised to begin cardiopulmonary resuscitation (CPR). If you haven't received CPR training, doctors recommend skipping mouth-to-mouth rescue breathing and performing only chest compressions (about 100 per minute). The dispatcher can instruct you in the proper procedures until help arrives. If an automated external defibrillator (AED) is available and the person is unconscious, begin CPR while the device is retrieved and set up. Attach the device and follow instructions that will be provided by the AED after it has evaluated the person's condition. O'Gara PT, et al. 2013 ACCT/AHA guideline for the management of ST-elevation myocardial infarction: A report of the American College of Cardiology Foundation/American Heart Association Task Force on Practice Guidelines. Circulation. 2013;127:e362. "
"Heat cramps: First aid - Mayo Clinic
","Heat cramps are painful, involuntary muscle spasms that usually occur during heavy exercise in hot environments. The spasms may be more intense and more prolonged than are typical nighttime leg cramps. Fluid and electrolyte loss often contribute to heat cramps. Muscles most often affected include those of your calves, arms, abdominal wall and back, although heat cramps may involve any muscle group involved in exercise. Rest briefly and cool down Drink clear juice or an electrolyte-containing sports drink Practice gentle, range-of-motion stretching and gentle massage of the affected muscle group Don't resume strenuous activity for several hours or longer after heat cramps go away Call your doctor if your cramps don't go away within one hour or so "
"Heat exhaustion: First aid - Mayo Clinic
","Heat exhaustion is one of the heat-related syndromes. Symptoms range in severity from mild heat cramps to heat exhaustion to potentially life-threatening heatstroke. Heat exhaustion can begin suddenly, usually after working or playing in the heat, perspiring heavily or being dehydrated. Heat exhaustion signs and symptoms include: Untreated, heat exhaustion can lead to heatstroke, which is a life-threatening condition. If you suspect heat exhaustion, take these steps immediately: Call 911 or your local emergency number if the person's condition deteriorates, especially if he or she experiences: Faintness or dizziness Nausea or vomiting Heavy sweating often accompanied by cold, clammy skin Weak, rapid pulse Pale or flushed face Muscle cramps Headache Weakness or fatigue Move the person out of the heat and into a shady or air-conditioned place. Lay the person down and elevate the legs and feet slightly. Remove tight or heavy clothing. Have the person drink cool water or other nonalcoholic beverage without caffeine. Cool the person by spraying or sponging with cool water and fanning. Monitor the person carefully. Fainting Confusion Seizures  Fever of 104 F (40 C) or greater "
"Heatstroke: First aid - Mayo Clinic
","Heatstroke occurs when your body temperature rises rapidly and you're unable to cool down. It can be life-threatening by causing damage to your brain and other vital organs. It may be caused by strenuous activity in the heat or by being in a hot place for too long. Heatstroke can occur without any previous heat-related condition, such as heat exhaustion. Heatstroke signs and symptoms include: If you suspect heatstroke, call 911 or your local emergency number. Then immediately move the person out of the heat and cool him or her by whatever means available, for example: Let the person drink cool water or other nonalcoholic beverage without caffeine, if he or she is able. Begin CPR if the person loses consciousness and shows no signs of circulation, such as breathing, coughing or movement. Fever of 104 F (40 C) or greater Changes in mental status or behavior, such as confusion, agitation, slurred speech Hot, dry skin or heavy sweating Nausea and vomiting Flushed skin Rapid pulse Rapid breathing Headache Fainting, which may be the first sign in older adults Put the person in a cool tub of water or a cool shower. Spray with a garden hose. Sponge with cool water. Fan while misting with cool water. Place ice packs or cool wet towels on the neck, armpits and groin. Cover with cool damp sheets. Litin SA (expert opinion). Mayo Clinic, Rochester, Minn. Feb. 25, 2015. "
"Human bites: First aid - Mayo Clinic
","Human bites can be as dangerous as or even more dangerous than animal bites because of the types of bacteria and viruses contained in the human mouth. Human bites that break the skin can become infected. If someone cuts his or her knuckles on another person's teeth, as might happen in a fight, this is also considered a human bite. And a cut on the knuckles from your own teeth, such as from a fall, is considered a human bite. To take care of a human bite that breaks the skin: If you haven't had a tetanus shot within five years, your doctor may recommend a booster. In this case, get the booster shot within 48 hours of the injury. Stop the bleeding by applying pressure with a clean, dry cloth. Wash the wound thoroughly with soap and water. Apply a clean bandage. Cover the affected area with a nonstick bandage. Seek emergency medical care.  Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. "
"Hypothermia: First aid - Mayo Clinic
","Hypothermia occurs when your body loses heat faster than it can produce heat and your body temperature falls below 95 F (35 C). Left untreated, it can be life-threatening. Hypothermia is often caused by exposure to cold weather or immersion in a cold body of water. It can also be caused by ongoing exposure to indoor temperatures below 50 F (10 C). You could be at increased risk if you're also exhausted or dehydrated. Signs and symptoms of hypothermia usually develop slowly and may include: If you suspect someone has hypothermia, call 911 or your local emergency number. Then immediately take these steps: Shivering, though this may stop as body temperature drops Slurred speech or mumbling Slow, shallow breathing Weak pulse Clumsiness or lack of coordination Drowsiness or very low energy Confusion or memory loss Loss of consciousness Bright red, cold skin (in infants) Gently move the person out of the cold. If going indoors isn't possible, protect the person from the wind, especially around the neck and head. Insulate the individual from the cold ground. Gently remove wet clothing. Replace wet things with warm, dry coats or blankets. If further warming is needed, do so gradually. For example, apply warm, dry compresses to the center of the body  neck, chest and groin. The CDC says another option is using an electric blanket, if available. If you use hot water bottles or a chemical hot pack, first wrap it in a towel before applying. Offer the person warm, sweet, nonalcoholic drinks. Begin CPR if the person shows no signs of life, such as breathing, coughing or movement. Do not rewarm the person too quickly, such as with a heating lamp or hot bath. Don't attempt to warm the arms and legs. Heating or massaging the limbs of someone in this condition can stress the heart and lungs. Don't give the person alcohol or cigarettes. Alcohol hinders the rewarming process, and tobacco products interfere with circulation that is needed for rewarming. Brown DJA. Accidental hypothermia. New England Journal of Medicine. 2012;367:1930. Litin SA (expert opinion). Mayo Clinic, Rochester, Minn. Feb. 25, 2015. "
"Insect bites and stings: First aid - Mayo Clinic
","Most reactions to insect bites and stings are mild, causing little more than redness, itching, stinging or minor swelling. Rarely, insect bites and stings, such as from a bee, a wasp, a hornet, a fire ant or a scorpion, can result in severe reactions. Some insects also carry disease, such as West Nile virus. To take care of an insect bite or sting that causes a mild reaction: Usually, the signs and symptoms of a bite or sting disappear in a day or two. If you're concerned  even if your reaction is minor  call your doctor. Call 911 or your local emergency number if the injured person experiences: Take these actions immediately while waiting for medical help: Move to a safe area to avoid more bites or stings. If needed, remove the stinger. Wash the area with soap and water. Apply a cool compress. Use a cloth dampened with cold water or filled with ice. This helps reduce pain and swelling. If the injury is on an arm or leg, elevate it. Apply a cream, gel or lotion to the injured area. Use products containing ingredients such as hydrocortisone, pramoxine or lidocaine to help control pain. Use creams such as calamine lotion or those containing colloidal oatmeal or baking soda to help soothe itchy skin. Use over-the-counter medications. Try a pain reliever, such as acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others), or an antihistamine (Benadryl, Chlor-Trimeton, others). Difficulty breathing Swelling of the lips, eyelids or throat Dizziness, faintness or confusion Rapid heartbeat Hives Nausea, cramps or vomiting A scorpion sting and is a child Ask the person if he or she is carrying an epinephrine autoinjector (EpiPen, Auvi-Q, others) to treat an allergic attack. If the person says he or she needs to use an autoinjector, ask whether you should help inject the medication. This is usually done by pressing the autoinjector against the person's thigh and holding it in place for several seconds.  Loosen tight clothing and cover the person with a blanket. Don't give him or her anything to drink. Turn the person on a side to prevent choking if he or she is vomiting or bleeding from the mouth. Begin CPR if the person shows no signs of circulation, such as breathing, coughing or movement. AskMayoExpert. Stinging insect allergy (adult and pediatric). Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2014. Subbarao I, et al. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009:56. Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Field JM, et al. Part 1: Executive summary  2010 American Heart Association guidelines for cardiopulmonary resuscitation and emergency cardiovascular care. Circulation. 2010;122(suppl):S640. "
"Motion sickness: First aid - Mayo Clinic
","Any type of transportation can cause motion sickness. It can strike suddenly, progressing from a feeling of uneasiness to a cold sweat, dizziness and then vomiting. Motion sickness usually quiets down as soon as the motion stops. The more you travel, the more easily you'll adjust to being in motion. You may escape motion sickness by planning ahead. If you're traveling, reserve seats where motion is felt least: If you're susceptible to motion sickness: By ship, request a cabin in the front or middle of the ship near the water level. By plane, ask for a seat over the front edge of a wing. Once aboard, direct the air vent flow to your face. By train, take a seat near the front and next to a window. Face forward. By automobile, drive or sit in the front passenger's seat. Focus on the horizon or on a distant, stationary object. Don't read. Keep your head still, while resting against a seat back. Don't smoke or sit near smokers. Avoid spicy and greasy foods and alcohol. Don't overeat. Take an over-the-counter antihistamine, such as meclizine (Antivert), or one containing dimenhydrinate (Dramamine), at least 30 to 60 minutes before you travel. Expect drowsiness as a side effect. Consider scopolamine (Transderm Scop), available in a prescription adhesive patch. Several hours before you plan to travel, apply the patch behind your ear for 72-hour protection. Talk to your doctor before using the medication if you have health problems, such as asthma, glaucoma or urine retention. Eat dry crackers or drink a carbonated beverage to help settle your stomach if you become ill. Brainard A, et al. Prevention and treatment of motion sickness. American Family Physician. 2014;90:42. "
"Nosebleeds: First aid - Mayo Clinic
","Nosebleeds are common. Most often they are a nuisance and not a true medical problem. But they can be both. Using supplemental oxygen administered with a nasal tube (cannula) may increase your risk of nosebleeds. Apply a water-based lubricant to your nostrils and increase the humidity in your home to help relieve nasal bleeding. Sit upright and lean forward. By remaining upright, you reduce blood pressure in the veins of your nose. This discourages further bleeding. Sitting forward will help you avoid swallowing blood, which can irritate your stomach. Pinch your nose. Use your thumb and index finger to pinch your nostrils shut. Breathe through your mouth. Continue to pinch for five to 10 minutes. Pinching sends pressure to the bleeding point on the nasal septum and often stops the flow of blood. To prevent re-bleeding, don't pick or blow your nose and don't bend down for several hours after the bleeding episode. During this time remember to keep your head higher than the level of your heart. If re-bleeding occurs, blow out forcefully to clear your nose of blood clots and spray both sides of your nose with a decongestant nasal spray containing oxymetazoline (Afrin, Mucinex Moisture Smart, others). Pinch your nose again as described above and call your doctor. The bleeding lasts for more than 20 minutes The nosebleed follows an accident, a fall or an injury to your head, including a punch in the face that may have broken your nose You experience frequent nosebleeds. You may need a blood vessel cauterized. Cautery is a technique in which the blood vessel is burned with electric current, silver nitrate or a laser. Your doctor may pack your nose with special gauze or an inflatable latex balloon to put pressure on the blood vessel and stop the bleeding. You're experiencing nasal bleeding and taking blood thinners, such as aspirin or warfarin (Coumadin, Jantoven). Your doctor may advise adjusting your medication dosage. Morgan DJ, et al. Epistaxis: Evaluation and Treatment. Primary Care: Clinics in Office Practice. 2014;41:63. "
"Poisoning: First aid - Mayo Clinic
","Poisoning is injury or death due to swallowing, inhaling, touching or injecting various drugs, chemicals, venoms or gases. Many substances  such as drugs and carbon monoxide  are poisonous only in higher concentrations or dosages. And others  such as cleaners  are dangerous only if ingested. Children are particularly sensitive to even small amounts of certain drugs and chemicals. How you treat someone who may have been poisoned depends on: If you are concerned about possible poisoning, call Poison Help at 800-222-1222 in the United States or your regional poison control center. Poison control centers are excellent resources for poisoning information and, in many situations, may advise that in-home observation is all that's needed. Poisoning signs and symptoms can mimic other conditions, such as seizure, alcohol intoxication, stroke and insulin reaction. Signs and symptoms of poisoning may include: If you suspect poisoning, be alert for clues such as empty pill bottles or packages, scattered pills, and burns, stains and odors on the person or nearby objects. With a child, consider the possibility that he or she may have applied medicated patches or swallowed a button battery. Call 911 or your local emergency number immediately if the person is: Call Poison Help at 800-222-1222 in the United States or your regional poison control center in the following situations: Be ready to describe the person's symptoms, age, weight, other medications he or she is taking, and any information you have about the poison. Try to determine the amount ingested and how long since the person was exposed to it. If possible, have on hand the pill bottle, medication package or other suspect container so you can refer to its label when speaking with the poison control center. Take the following actions until help arrives: Syrup of ipecac. Don't give syrup of ipecac or do anything to induce vomiting. Expert groups, including the American Association of Poison Control Centers and the American Academy of Pediatrics, no longer endorse using ipecac in children or adults who have taken pills or other potentially poisonous substances. No good evidence proves its effectiveness, and it often can do more harm than good. If you still have old bottles of syrup of ipecac in your home, throw them away. Button batteries. The small, flat batteries used in watches and other electronics  particularly the larger, nickel-sized ones  are especially dangerous to small children. A battery stuck in the esophagus can cause severe burns in as little as 2 hours. If you suspect that a child has swallowed one of these batteries, immediately take him or her for an emergency X-ray to determine its location. If the battery is in the esophagus, it will have to be removed. If it has passed into the stomach, it's usually safe to allow it to pass on through the intestinal tract. The person's symptoms The person's age Whether you know the type and amount of the substance that caused poisoning Burns or redness around the mouth and lips Breath that smells like chemicals, such as gasoline or paint thinner Vomiting Difficulty breathing Drowsiness Confusion or other altered mental status Drowsy or unconscious Having difficulty breathing or has stopped breathing Uncontrollably restless or agitated Having seizures Known to have taken medications, or any other substance, intentionally or accidentally overdosed (in these situations the poisoning typically involves larger amounts, often along with alcohol). The person is stable and has no symptoms The person is going to be transported to the local emergency department Swallowed poison. Remove anything remaining in the person's mouth. If the suspected poison is a household cleaner or other chemical, read the container's label and follow instructions for accidental poisoning. Poison on the skin. Remove any contaminated clothing using gloves. Rinse the skin for 15 to 20 minutes in a shower or with a hose. Poison in the eye. Gently flush the eye with cool or lukewarm water for 20 minutes or until help arrives. Inhaled poison. Get the person into fresh air as soon as possible. If the person vomits, turn his or her head to the side to prevent choking. Begin CPR if the person shows no signs of life, such as moving, breathing or coughing. Call Poison Help at 800-222-1222 in the United States or your regional poison control for additional instructions. Have somebody gather pill bottles, packages or containers with labels, and any other information about the poison to send along with the ambulance team. 
Syrup of ipecac. Don't give syrup of ipecac or do anything to induce vomiting. Expert groups, including the American Association of Poison Control Centers and the American Academy of Pediatrics, no longer endorse using ipecac in children or adults who have taken pills or other potentially poisonous substances. No good evidence proves its effectiveness, and it often can do more harm than good.
If you still have old bottles of syrup of ipecac in your home, throw them away.
 
Button batteries. The small, flat batteries used in watches and other electronics  particularly the larger, nickel-sized ones  are especially dangerous to small children. A battery stuck in the esophagus can cause severe burns in as little as 2 hours.
If you suspect that a child has swallowed one of these batteries, immediately take him or her for an emergency X-ray to determine its location. If the battery is in the esophagus, it will have to be removed. If it has passed into the stomach, it's usually safe to allow it to pass on through the intestinal tract.
 Medicated patches. If you think a child got hold of medicated patches (adhesive products for transdermal drug delivery), carefully inspect the child's skin and remove any that are attached. Also check the roof of the mouth, where they can get stuck if the child sucks on them. AskMayoExpert. Acute ingestions. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2014. American Academy of Pediatrics policy statement: Poison treatment in the home. Pediatrics. 2003;112:1182. Millman M et al., eds. Emergencies and urgent care. In: Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Wilkinson JM (expert opinion). Mayo Clinic, Rochester, Minn., Feb. 28, 2015. "
"Puncture wounds: First aid - Mayo Clinic
","A puncture wound doesn't usually cause excessive bleeding. Often the wound seems to close almost instantly. But this doesn't mean treatment isn't necessary. A puncture wound  such as from stepping on a nail  can be dangerous because of the risk of infection. To take care of a puncture wound: Get immediate medical help if the wound: If the injured person hasn't had a tetanus shot in the past five years and the wound is deep or dirty, your doctor may recommend a booster. The injured person should have the booster shot within 48 hours of the injury. If the wound was caused by a cat or a dog, try to confirm that its rabies vaccination is up to date. If it was caused by a wild animal, seek advice from your doctor about which animals are most likely to carry rabies.  Wash your hands. This helps avoid infection. Stop the bleeding. Apply gentle pressure with a bandage or clean cloth. Clean the wound. Rinse the wound with clear water. If dirt or debris remains in the wound after washing, use tweezers cleaned with alcohol to remove the particles. If debris still remains, see a doctor. Clean the area around the wound with soap and a washcloth. Apply an antibiotic. Apply a thin layer of an antibiotic cream or ointment (Neosporin, Polysporin). Certain ingredients in some ointments can cause a mild rash in some people. If a rash appears, stop using the ointment. Cover the wound. Bandages can help keep the wound clean and keep harmful bacteria out. Change the dressing. Do this at least once a day or whenever the bandage becomes wet or dirty. Watch for signs of infection. See a doctor if the wound isn't healing or you notice any redness, increasing pain, drainage, warmth or swelling. Keeps bleeding after a few minutes of direct pressure Is the result of an animal or human bite Is deep, dirty or caused by a metal object Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. "
